Bias,OutgroupAttitudes,NeedForCognition,ValuesThreat,BigFiveAgreeable,BigFiveOpen,GeneralizedThreat,GeneralizedThreat_OutgroupAtt,SymbolicThreat,ProtestantWorkEthic,Unpredictability,Loneliness,Religiosity,SDO.fDOM,SDO.fEGAL,SystemJustification,ID.fSELFINVESTMENT,ID.fSELFDEFINITION,Contact_quality,Contact_negative,Contact_quantity,Contact_numberfriends,Contact_frequency,BeliefInJustWorld,Entitativity,RWA.fCONS,RWA.fTRAD,RWA.fAUTH
-0.73348309,-0.176279040034667,-0.836209811,-1.26475049,-0.40801433,0.031798816,0.20175213,-0.934381756129079,-0.37644897,0.10514532458,-0.45927248,-0.42047817,-1.097423007,0.507284149,0.522631786,-0.3953802338,-0.875927903,-0.270450394,-0.067830698,-0.537089995,2.1447403,2.254156726,2.798099774,0.437673154,0.055608916,-0.01895558,-1.478975938,-0.311178373
-0.69732314,0.00362322273005411,-0.361925257,2.67723956,-0.65195222,-1.129036175,0.73694074,4.18430901736119,2.5570101,0.51265882593,2.80067936,-0.42047817,0.71917662,2.489328822,2.144302441,1.0670205374,0.146266844,0.068723385,-1.479009938,2.235891387,0.880573907,2.254156726,2.798099774,1.118029255,-0.890337507,1.034595217,2.05847647,0.700207878
-0.53062482,-0.176279040034667,-0.865262432,-1.26475049,-0.27858542,0.813169539,0.01238,-0.871266457672078,-1.04964099,-0.74756406216,0.85011256,0.47667894,-1.153086854,-1.002524561,-0.659814633,-1.41549289,-0.880248174,-0.429417311,0.997147546,-0.754833829,1.521016934,1.254156726,1.798099774,-0.522963937,0.387706953,-1.809032486,-2.233181031,-0.4103566
-0.53062482,-1.1463555640761,0.898230062,-1.26475049,-0.27858542,0.054241006,0.01238,-0.871266457672078,-0.86724915,0.06410532297,-2.69321724,0.47757514,-0.570495961,-1.220655496,-1.234923488,-0.0215419446,-0.633383502,-0.551220002,0.820755138,-0.731608482,-2.110143634,-1.745843274,-2.201900226,-0.886491656,-0.307510447,-1.300577336,-2.085529259,-0.269275973
-1.1602319,0.793797484006771,1.843269145,-1.26475049,0.19437045,0.433705272,-0.52280861,-0.871266457672078,-0.98143378,-0.28836481316,-2.61033969,-0.75285893,-0.816725122,-0.968730001,-1.112162362,-1.0081168894,-0.064466427,0.114532169,0.068863797,-0.646039056,-0.724671108,-1.745843274,-2.201900226,-1.55841743,0.739451672,-1.151670697,-2.007738216,-0.535719143
-1.50363155,1.76387400804821,-0.039373664,-1.26475049,-0.52252331,0.813169539,-1.43674147,-0.871266457672078,-0.98143378,-1.32235141364,1.25166875,-0.42425242,1.146195715,-1.229397729,-1.219546959,-2.4505518048,-1.083438437,-0.206107695,0.969299741,-0.719279102,1.310077522,2.254156726,1.798099774,-2.437220388,1.152225455,-0.97330422,-1.892240106,-1.053668822
-0.53062482,1.76387400804821,2.963588601,-1.26475049,-0.40801433,0.813169539,0.76986851,-0.871266457672078,-0.98143378,-1.24936634288,-2.57266092,-0.40144035,-1.051343436,-1.085862439,-0.860137916,-1.9997959319,-0.218664304,0.171744981,0.866481647,-0.727843228,0.345776421,0.254156726,0.798099774,-1.795763083,-1.113087497,-1.891630534,-2.207479688,-0.87587771
-0.53062482,1.76387400804821,-3.96752758,-1.26475049,0.55281733,0.411263082,0.01238,-0.871266457672078,-1.04964099,-1.4717264618,-2.57266092,-0.40144035,-1.154529604,-1.184094347,-1.208791372,-0.0717202452,0.468287296,1.627751049,0.847512532,-0.732520581,-1.654787269,-0.745843274,-2.201900226,-2.203754819,1.919186419,-1.359975359,-1.426704325,-0.600822455
2.38839536,-1.1463555640761,3.019406329,0.72701724,-0.88097019,0.813169539,1.46150147,0.813925367339011,2.45873939,0.08958425916,0.39608552,-1.36174869,1.359398066,2.624827045,2.650273404,-0.5524996511,1.251733813,0.942173843,0.039750451,0.171810532,-0.37610904,-0.745843274,-0.201900226,-1.936607901,-0.281908953,0.404624841,2.299356213,0.130702024
-0.53062482,-0.176279040034667,0.757005098,1.88884155,0.43830834,-0.727129718,0.01238,2.4991171923501,1.79607012,0.28067284218,1.25144353,0.42460752,1.532086718,0.674560231,0.822735079,1.2053485674,-0.122774345,-0.304977939,-1.733381769,2.036492665,0.41488812,0.254156726,0.798099774,1.184926905,-1.113087497,2.799517576,3.984243707,0.925050176
