Bias,OutgroupAttitudes,NeedForCognition,ValuesThreat,BigFiveAgreeable,BigFiveOpen,GeneralizedThreat,GeneralizedThreat_OutgroupAtt,SymbolicThreat,ProtestantWorkEthic,Unpredictability,Loneliness,Religiosity,SDO.fDOM,SDO.fEGAL,SystemJustification,ID.fSELFINVESTMENT,ID.fSELFDEFINITION,Contact_quality,Contact_negative,Contact_quantity,Contact_numberfriends,Contact_frequency,BeliefInJustWorld,Entitativity,RWA.fCONS,RWA.fTRAD,RWA.fAUTH
-1.6647417,-0.175739020790102,0.189169896,-2.060841,0.76972481,-0.361632207,-2.58348814,-1.60004636119467,0.660484545,0.065672912,-0.880457761,0.07678824,0.514278313,0.198695985,0.093407163,-0.214520398,-0.213465133,-0.443545719,-0.155592478,1.44633223,0.324520937,0.11138017,-1.11380143,-0.665512864,-0.542932882,-0.327590783,0.664748478,0.070529616
0.08105414,-0.882158777424909,0.941256516,1.1626099,-1.30341982,0.375665349,-1.87865392,1.75962746421268,0.366509872,-0.060440831,-0.661303024,-0.25581728,-0.779520164,-1.035274701,-1.101088043,-0.710120323,-0.967601728,-1.229625477,-0.213170274,0.679494929,0.862065003,0.11138017,0.88619857,-0.169575893,0.085448889,-0.372037729,-1.220919593,-0.321040773
-1.4183742,0.959715302771171,-0.53604265,-2.6247568,1.03740893,0.375665349,-3.42117282,2.99652524364393,-0.042178568,-0.768952011,-0.647880354,-0.25572712,-1.306441743,-1.413841102,-1.354533824,-0.280438038,0.039551451,0.415532204,0.45603877,-1.717222232,2.992881267,2.11138017,1.88619857,-1.587744543,-0.823531928,-0.870271817,-2.391039103,-0.403175401
-1.67854989,0.341946250581575,-0.458450295,-2.6247568,-0.92373153,0.07203568,-2.3392621,-2.60293113203498,-2.186475923,0.467924378,-0.996437382,0.52402875,-1.293465657,2.22562122,2.547006963,1.271131491,-2.190739884,-1.975337428,0.260399156,-1.750261277,-0.040382806,-0.88861983,0.88619857,1.147171426,-0.604361192,-0.590814301,-1.881602855,-0.288715438
0.77233902,-0.993675634615535,-2.20382535,-1.2460173,-0.50036745,0.375665349,-2.31141821,1.75962746421268,0.393031517,0.138060721,1.473342168,-0.25581728,0.006639066,1.89105824,1.435983917,-0.007425044,0.176193641,0.345489494,0.651287871,-0.548550608,0.808494548,3.11138017,-0.11380143,0.279249422,-0.842985024,0.58549158,0.601014773,0.080968016
-1.99570341,2.59850517587673,-1.360218264,2.5771934,-0.18900752,-1.033910655,-1.66227178,3.05780499056793,1.654574296,0.762442952,2.635675462,-0.2557555,0.853786714,2.176356899,1.186914205,2.238233256,1.096713824,1.138412155,1.20478908,2.101755025,3.958172076,4.11138017,4.88619857,2.707976022,1.731399571,1.511223903,3.121440959,0.467260603
1.30649859,-0.164305944417394,-3.010648145,1.1984539,-0.61237161,-0.535223659,-0.74105541,2.17192672402309,-0.668583681,0.724053577,-0.940703778,-0.25572712,1.023276417,-0.532515819,-0.287801756,1.079770642,0.267830118,0.39623907,0.150012144,-0.223573106,0.63059443,-0.88861983,-0.11380143,-0.504133471,0.835012741,1.34367852,3.315495654,0.530276238
-0.77025896,1.26288329067962,-0.860700772,-1.989153,0.0786766,-0.296613098,-0.76889931,-1.89533911670962,-1.514378472,0.076271974,1.611296138,0.52335987,-0.87104814,-0.626895495,-0.899823721,1.334282674,0.616211171,0.481262748,0.718645719,-1.035113457,-0.46410413,0.11138017,-0.11380143,1.502352563,0.420831007,-1.048244067,-1.898747409,-0.279324735
0.45518549,-0.993675634615535,-0.67233928,2.6130374,-0.50036745,0.440684458,1.939062,1.6426209599172,1.489470473,0.505064411,1.633492083,0.52425421,1.280432733,0.622119208,0.726593444,0.370633403,0.356547377,0.378421551,-1.587285715,1.713337918,-1.47810896,-0.88861983,-1.11380143,-0.385394538,0.123894696,1.152290778,4.129299052,0.629931513
-1.67854989,0.341946250581575,0.995054424,-0.3595056,0.34636072,-1.272521215,-0.09190898,-1.18774710138425,0.743321983,0.173161204,0.878046922,-0.25646996,1.428533482,-1.094707182,-0.871806729,-1.266584776,0.259254707,0.93369685,-0.023134401,-0.934543656,-0.920803536,-0.88861983,-1.11380143,-1.69961565,0.329757765,1.580109489,4.298481495,0.913052378
-0.45310544,-0.993675634615535,0.18886276,0.4194741,-0.18900752,0.744314127,-1.44588963,-1.89533911670962,-0.986875135,-0.188029987,0.717897007,-1.03588877,-0.818816382,-0.411541211,-0.483913534,0.713817519,-0.288958019,-0.156833146,-0.292716696,-0.067155867,-0.086862585,0.11138017,-0.11380143,1.071506374,-0.254153793,-1.054475453,-2.424822963,-0.431209318
-0.12214372,1.26288329067962,1.446386666,-2.6247568,1.03740893,0.07203568,-1.44588963,-2.60293113203498,-1.471463326,0.809164758,-3.71295515,0.52425421,0.045965043,2.555946055,2.331970407,2.827705574,0.851232539,0.805329394,2.054362269,-2.011270792,2.409057224,2.11138017,2.88619857,2.608141608,0.269979767,2.700975487,4.055690909,0.736534789
0.13803197,0.756631095680645,-0.493443059,1.7982137,1.03740893,0.744314127,-0.09190898,-0.0678558262484706,0.258183134,-0.07492987,1.880230301,0.19374038,-0.438177543,-1.126877467,-0.819137397,0.451803172,1.288190107,1.426041608,0.350901231,-0.207175004,0.196955042,0.11138017,-0.11380143,1.388682,0.940920238,-1.244691398,-2.4599359,-0.46005033
-0.89802282,0.656547314862727,0.673418716,0.3836302,-0.45669165,0.375665349,-1.01312535,-2.01234562100509,0.357263223,-0.37824412,3.230970708,-1.03568335,1.129995075,-0.380816997,-0.47388046,-0.962480106,-0.836475195,-1.32660147,0.621072854,-0.994451061,0.460546368,1.11138017,-0.11380143,-0.833255662,-1.174107829,-1.428849508,-1.628593258,-0.389264512
1.95461383,-1.4999278296145,1.132801996,-0.4311936,-1.7267839,-0.665261877,0.12447316,-3.13223689614087,-1.469988085,0.725421924,-1.358021101,-1.03499443,0.212680518,1.81647194,2.125143634,1.204210195,0.749304019,0.722464286,-1.073287267,2.360194203,-0.821751627,-0.88861983,-1.11380143,0.794775424,0.705104347,1.17488441,1.751007461,0.519406056
-1.03043465,-0.0727385945174947,-0.828717704,0.4553181,-0.18900752,0.375665349,-0.52467327,-0.597161590354362,0.70994465,-0.067028266,0.627634729,-0.25578898,0.733878438,0.588172896,0.204201236,1.00008179,-0.064673845,-0.135580139,-0.213077475,-0.143283582,-0.254699285,-0.88861983,-1.11380143,1.111219756,-0.082294002,1.062320414,3.508861406,0.609415504
